results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -2.91896e-05 -2.91897e-05  8.98126e-11
5.004166667e+00 -3.02479e-05 -3.02480e-05  1.11570e-10
5.008336806e+00 -2.99663e-05 -2.99664e-05  7.83414e-11
5.012510420e+00 -2.89734e-05 -2.89734e-05  7.41151e-11
5.016687512e+00 -2.82697e-05 -2.82699e-05  1.58038e-10
5.020868085e+00 -2.74361e-05 -2.74364e-05  2.47944e-10
5.025052141e+00 -2.78020e-05 -2.78021e-05  8.32135e-11
5.029239685e+00 -2.76604e-05 -2.76606e-05  1.55549e-10
5.033430718e+00 -2.90339e-05 -2.90340e-05  8.29112e-11
5.037625243e+00 -2.87767e-05 -2.87768e-05  7.12424e-11
5.041823264e+00 -2.78482e-05 -2.78482e-05  7.10467e-11
5.046024784e+00 -2.70052e-05 -2.70052e-05  7.19630e-11
5.050229804e+00 -2.94796e-05 -2.94797e-05  7.44194e-11
5.054438329e+00 -2.73409e-05 -2.73410e-05  7.84287e-11
5.058650361e+00 -2.78339e-05 -2.78340e-05  1.07635e-10
5.062865903e+00 -2.67060e-05 -2.67060e-05  8.46463e-11
5.067084958e+00 -2.71752e-05 -2.71752e-05  8.79401e-11
5.071307529e+00 -2.77483e-05 -2.77484e-05  9.33133e-11
5.075533619e+00 -2.75812e-05 -2.75813e-05  9.69622e-11
5.079763230e+00 -2.64100e-05 -2.64102e-05  1.48558e-10
5.083996366e+00 -2.61106e-05 -2.61108e-05  2.68004e-10
5.088233030e+00 -2.74284e-05 -2.74285e-05  1.43825e-10
5.092473224e+00 -2.49188e-05 -2.49189e-05  1.20638e-10
5.096716951e+00 -2.67477e-05 -2.67478e-05  1.32650e-10
5.100964216e+00 -2.75493e-05 -2.75494e-05  1.65390e-10
5.105215019e+00 -2.57843e-05 -2.57845e-05  1.31906e-10
5.109469365e+00 -2.46479e-05 -2.46480e-05  1.47049e-10
5.113727256e+00 -2.57589e-05 -2.57591e-05  2.10821e-10
5.117988695e+00 -2.64715e-05 -2.64717e-05  1.32410e-10
5.122253686e+00 -2.60031e-05 -2.60032e-05  1.25973e-10
5.126522231e+00 -2.46477e-05 -2.46478e-05  1.17804e-10
5.130794333e+00 -2.40197e-05 -2.40198e-05  1.09955e-10
5.135069995e+00 -2.62669e-05 -2.62670e-05  1.32508e-10
5.139349220e+00 -2.48899e-05 -2.48902e-05  2.82255e-10
5.143632011e+00 -2.38580e-05 -2.38582e-05  1.53836e-10
5.147918371e+00 -2.37805e-05 -2.37808e-05  3.22847e-10
5.152208303e+00 -2.59153e-05 -2.59155e-05  1.91947e-10
5.156501809e+00 -2.56007e-05 -2.56009e-05  1.57086e-10
5.160798894e+00 -2.33081e-05 -2.33083e-05  1.81780e-10
5.165099560e+00 -2.40927e-05 -2.40930e-05  2.38714e-10
