# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Sun Mar 17 01:12:43 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,91.398
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.20604  0.00150  0.00000  0.00001  0.99951
5.002083333e+00  0.00000  1.00000  0.23373  0.00026  0.00000  0.00001  0.99947
5.004167535e+00  0.00000  1.00000  0.23508  0.00002  0.00000  0.00001  0.99966
5.006252605e+00  0.00000  1.00000  0.27852  0.00102  0.00000  0.00001  0.99934
5.008338543e+00  0.00000  1.00000  0.17230  0.00081  0.00000  0.00001  0.99966
5.010425351e+00  0.00000  1.00000  0.18334  0.00022  0.00000  0.00001  0.99960
5.012513028e+00  0.00000  1.00000  0.16387  0.00001  0.00000  0.00001  0.99966
5.014601575e+00 -0.00000  1.00000  0.36415 -0.00000  0.00000  0.00001  0.99964
5.016690992e+00 -0.00000  1.00000  0.18367 -0.00000  0.00000  0.00001  0.99952
5.018781280e+00 -0.00000  1.00000  0.40691 -0.00000  0.00000  0.00001  0.99942
5.020872439e+00 -0.00000  1.00000  0.16742 -0.00000  0.00000  0.00001  0.99940
5.022964469e+00  0.00000  1.00000  0.44027  0.00000  0.00000  0.00001  0.99917
5.025057371e+00  0.00000  1.00000  0.23527  0.00000  0.00000  0.00002  0.99968
5.027151145e+00  0.00000  1.00000  0.45594  0.00000  0.00000  0.00002  0.99963
