results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48387e-05 -1.48387e-05  1.20099e-11
5.002083333e+00 -1.49040e-05 -1.49040e-05  1.77860e-11
5.004167535e+00 -1.57385e-05 -1.57385e-05  1.22846e-11
5.006252605e+00 -1.63550e-05 -1.63550e-05  1.06352e-11
5.008338543e+00 -1.57898e-05 -1.57898e-05  1.06185e-11
5.010425351e+00 -1.56897e-05 -1.56898e-05  1.06648e-11
5.012513028e+00 -1.43014e-05 -1.43014e-05  1.07557e-11
5.014601575e+00 -1.52198e-05 -1.52198e-05  1.09931e-11
5.016690992e+00 -1.52177e-05 -1.52177e-05  1.75456e-11
5.018781280e+00 -1.42433e-05 -1.42434e-05  2.75754e-11
5.020872439e+00 -1.43187e-05 -1.43188e-05  3.19124e-11
5.022964469e+00 -1.52731e-05 -1.52731e-05  8.41651e-12
5.025057371e+00 -1.41126e-05 -1.41126e-05  1.12876e-11
5.027151145e+00 -1.41946e-05 -1.41946e-05  1.20948e-11
5.029245792e+00 -1.44567e-05 -1.44567e-05  2.22551e-11
5.031341311e+00 -1.54657e-05 -1.54657e-05  1.36410e-11
5.033437703e+00 -1.47366e-05 -1.47366e-05  1.12349e-11
5.035534969e+00 -1.55477e-05 -1.55477e-05  1.11481e-11
5.037633108e+00 -1.57430e-05 -1.57430e-05  1.10900e-11
5.039732122e+00 -1.36073e-05 -1.36073e-05  1.12341e-11
5.041832010e+00 -1.51726e-05 -1.51726e-05  1.11414e-11
5.043932774e+00 -1.42943e-05 -1.42943e-05  1.12616e-11
5.046034412e+00 -1.46703e-05 -1.46703e-05  1.12235e-11
5.048136927e+00 -1.39098e-05 -1.39098e-05  1.16742e-11
5.050240317e+00 -1.53961e-05 -1.53961e-05  1.12902e-11
5.052344584e+00 -1.54679e-05 -1.54679e-05  1.13146e-11
5.054449727e+00 -1.44128e-05 -1.44128e-05  1.13523e-11
5.056555748e+00 -1.46432e-05 -1.46433e-05  1.14822e-11
5.058662646e+00 -1.41778e-05 -1.41778e-05  1.17380e-11
5.060770422e+00 -1.44062e-05 -1.44062e-05  1.46151e-11
5.062879077e+00 -1.38710e-05 -1.38711e-05  1.16237e-11
5.064988610e+00 -1.40890e-05 -1.40890e-05  1.16101e-11
5.067099022e+00 -1.38309e-05 -1.38309e-05  1.16605e-11
5.069210313e+00 -1.48627e-05 -1.48627e-05  1.17251e-11
5.071322484e+00 -1.45090e-05 -1.45090e-05  1.17901e-11
5.073435535e+00 -1.47856e-05 -1.47856e-05  1.18730e-11
5.075549466e+00 -1.41392e-05 -1.41392e-05  1.20138e-11
5.077664279e+00 -1.38326e-05 -1.38327e-05  1.22418e-11
5.079779972e+00 -1.37364e-05 -1.37364e-05  1.30127e-11
5.081896547e+00 -1.37135e-05 -1.37136e-05  3.05824e-11
5.084014004e+00 -1.41124e-05 -1.41125e-05  1.97312e-11
5.086132343e+00 -1.38497e-05 -1.38497e-05  2.63682e-11
5.088251565e+00 -1.41028e-05 -1.41028e-05  1.30074e-11
5.090371670e+00 -1.41154e-05 -1.41154e-05  1.24915e-11
5.092492658e+00 -1.27687e-05 -1.27687e-05  1.24363e-11
5.094614530e+00 -1.34029e-05 -1.34030e-05  1.24884e-11
5.096737286e+00 -1.44882e-05 -1.44882e-05  1.27426e-11
5.098860926e+00 -1.40560e-05 -1.40560e-05  2.31236e-11
5.100985452e+00 -1.46381e-05 -1.46381e-05  1.32204e-11
5.103110862e+00 -1.41588e-05 -1.41588e-05  1.29141e-11
5.105237159e+00 -1.32258e-05 -1.32258e-05  1.27424e-11
5.107364341e+00 -1.34612e-05 -1.34612e-05  1.31394e-11
5.109492409e+00 -1.29099e-05 -1.29099e-05  1.32660e-11
5.111621364e+00 -1.30828e-05 -1.30828e-05  1.70175e-11
5.113751207e+00 -1.32678e-05 -1.32678e-05  1.50841e-11
5.115881936e+00 -1.39469e-05 -1.39470e-05  2.38363e-11
5.118013554e+00 -1.38025e-05 -1.38025e-05  1.25022e-11
5.120146060e+00 -1.34612e-05 -1.34612e-05  1.31337e-11
5.122279454e+00 -1.37652e-05 -1.37652e-05  1.31882e-11
5.124413737e+00 -1.29926e-05 -1.29926e-05  1.33625e-11
5.126548909e+00 -1.36415e-05 -1.36416e-05  1.38868e-11
5.128684971e+00 -1.26354e-05 -1.26354e-05  1.38252e-11
5.130821923e+00 -1.25411e-05 -1.25412e-05  1.39393e-11
5.132959766e+00 -1.29305e-05 -1.29305e-05  1.38798e-11
5.135098499e+00 -1.37228e-05 -1.37228e-05  1.47021e-11
5.137238123e+00 -1.33192e-05 -1.33193e-05  3.37503e-11
5.139378639e+00 -1.26515e-05 -1.26515e-05  2.66243e-11
5.141520047e+00 -1.34028e-05 -1.34028e-05  2.67802e-11
5.143662347e+00 -1.30402e-05 -1.30402e-05  1.52388e-11
5.145805540e+00 -1.16575e-05 -1.16575e-05  2.11401e-11
5.147949625e+00 -1.24942e-05 -1.24942e-05  6.36051e-11
5.150094604e+00 -1.25798e-05 -1.25798e-05  2.36036e-11
5.152240477e+00 -1.41234e-05 -1.41235e-05  1.60847e-11
5.154387244e+00 -1.39652e-05 -1.39653e-05  1.50096e-11
5.156534905e+00 -1.32180e-05 -1.32180e-05  1.47481e-11
5.158683462e+00 -1.28272e-05 -1.28272e-05  1.45639e-11
5.160832913e+00 -1.18463e-05 -1.18463e-05  1.46849e-11
5.162983260e+00 -1.29009e-05 -1.29009e-05  1.47984e-11
5.165134503e+00 -1.22152e-05 -1.22152e-05  1.44781e-11
5.167286642e+00 -1.23891e-05 -1.23891e-05  1.45625e-11
5.169439679e+00 -1.21652e-05 -1.21653e-05  1.46347e-11
5.171593612e+00 -1.30086e-05 -1.30086e-05  1.52601e-11
5.173748442e+00 -1.18548e-05 -1.18548e-05  2.25227e-11
5.175904171e+00 -1.27185e-05 -1.27185e-05  1.49736e-11
5.178060798e+00 -1.32618e-05 -1.32618e-05  1.49200e-11
5.180218323e+00 -1.22271e-05 -1.22271e-05  1.49567e-11
5.182376747e+00 -1.26412e-05 -1.26412e-05  1.50357e-11
5.184536071e+00 -1.21185e-05 -1.21185e-05  1.51327e-11
5.186696294e+00 -1.24826e-05 -1.24826e-05  1.53517e-11
5.188857418e+00 -1.32000e-05 -1.32000e-05  1.54540e-11
5.191019442e+00 -1.31779e-05 -1.31779e-05  1.58094e-11
5.193182366e+00 -1.25124e-05 -1.25124e-05  1.59460e-11
5.195346192e+00 -1.17938e-05 -1.17938e-05  1.72178e-11
5.197510920e+00 -1.17782e-05 -1.17782e-05  1.95900e-11
5.199676550e+00 -1.17830e-05 -1.17831e-05  5.49226e-11
5.201843081e+00 -1.12547e-05 -1.12547e-05  4.58502e-11
5.204010516e+00 -1.28335e-05 -1.28335e-05  2.13138e-11
5.206178854e+00 -1.22497e-05 -1.22497e-05  1.86343e-11
5.208348095e+00 -1.32255e-05 -1.32256e-05  1.95643e-11
5.210518240e+00 -1.12444e-05 -1.12445e-05  2.35467e-11
5.212689289e+00 -1.16430e-05 -1.16430e-05  5.04266e-11
5.214861243e+00 -1.25061e-05 -1.25061e-05  4.80287e-11
5.217034102e+00 -1.23518e-05 -1.23519e-05  2.25772e-11
5.219207866e+00 -1.24144e-05 -1.24144e-05  1.84666e-11
5.221382536e+00 -1.15782e-05 -1.15783e-05  1.76698e-11
5.223558112e+00 -1.16853e-05 -1.16854e-05  1.77042e-11
5.225734595e+00 -1.16153e-05 -1.16153e-05  1.77405e-11
