# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.49105e-05 -1.49105e-05  2.11516e-11
5.002083333e+00 -1.49754e-05 -1.49755e-05  2.92717e-11
5.004167535e+00 -1.58135e-05 -1.58136e-05  1.98356e-11
5.006252605e+00 -1.64336e-05 -1.64336e-05  1.88108e-11
5.008338543e+00 -1.58711e-05 -1.58712e-05  2.11494e-11
5.010425351e+00 -1.57696e-05 -1.57696e-05  2.12285e-11
5.012513028e+00 -1.43711e-05 -1.43711e-05  1.90608e-11
5.014601575e+00 -1.52924e-05 -1.52924e-05  1.82179e-11
5.016690992e+00 -1.52902e-05 -1.52903e-05  2.85750e-11
5.018781280e+00 -1.43103e-05 -1.43104e-05  3.94738e-11
5.020872439e+00 -1.43844e-05 -1.43844e-05  4.34704e-11
5.022964469e+00 -1.53462e-05 -1.53462e-05  1.40090e-11
5.025057371e+00 -1.41804e-05 -1.41804e-05  1.93844e-11
5.027151145e+00 -1.42599e-05 -1.42599e-05  1.73056e-11
5.029245792e+00 -1.45253e-05 -1.45253e-05  3.17975e-11
5.031341311e+00 -1.55382e-05 -1.55382e-05  1.96157e-11
5.033437703e+00 -1.48089e-05 -1.48089e-05  2.13477e-11
5.035534969e+00 -1.56196e-05 -1.56196e-05  1.56695e-11
5.037633108e+00 -1.58203e-05 -1.58203e-05  2.18017e-11
5.039732122e+00 -1.36701e-05 -1.36701e-05  1.54940e-11
5.041832010e+00 -1.52462e-05 -1.52462e-05  2.24703e-11
5.043932774e+00 -1.43610e-05 -1.43610e-05  1.54043e-11
5.046034412e+00 -1.47419e-05 -1.47420e-05  2.35083e-11
5.048136927e+00 -1.39732e-05 -1.39732e-05  1.57083e-11
5.050240317e+00 -1.54708e-05 -1.54708e-05  2.15829e-11
5.052344584e+00 -1.55396e-05 -1.55396e-05  1.65890e-11
5.054449727e+00 -1.44833e-05 -1.44833e-05  2.33278e-11
5.056555748e+00 -1.47110e-05 -1.47110e-05  1.70040e-11
5.058662646e+00 -1.42489e-05 -1.42489e-05  2.57757e-11
5.060770422e+00 -1.44709e-05 -1.44710e-05  2.15557e-11
5.062879077e+00 -1.39411e-05 -1.39411e-05  2.65191e-11
5.064988610e+00 -1.41532e-05 -1.41532e-05  1.57310e-11
5.067099022e+00 -1.39012e-05 -1.39012e-05  2.81917e-11
5.069210313e+00 -1.49294e-05 -1.49294e-05  1.51833e-11
5.071322484e+00 -1.45839e-05 -1.45839e-05  3.12240e-11
5.073435535e+00 -1.48511e-05 -1.48512e-05  1.47569e-11
5.075549466e+00 -1.42101e-05 -1.42101e-05  2.75730e-11
5.077664279e+00 -1.38966e-05 -1.38966e-05  1.97565e-11
5.079779972e+00 -1.38078e-05 -1.38078e-05  3.24864e-11
5.081896547e+00 -1.37760e-05 -1.37760e-05  4.39638e-11
5.084014004e+00 -1.41875e-05 -1.41876e-05  4.03057e-11
5.086132343e+00 -1.39126e-05 -1.39126e-05  3.79258e-11
5.088251565e+00 -1.41801e-05 -1.41802e-05  3.76537e-11
5.090371670e+00 -1.41797e-05 -1.41797e-05  1.95142e-11
5.092492658e+00 -1.28417e-05 -1.28417e-05  4.03658e-11
5.094614530e+00 -1.34630e-05 -1.34630e-05  1.85667e-11
5.096737286e+00 -1.45738e-05 -1.45738e-05  4.30553e-11
5.098860926e+00 -1.41177e-05 -1.41177e-05  3.39068e-11
5.100985452e+00 -1.47179e-05 -1.47179e-05  3.67675e-11
5.103110862e+00 -1.42269e-05 -1.42270e-05  2.62218e-11
5.105237159e+00 -1.33008e-05 -1.33008e-05  3.83266e-11
5.107364341e+00 -1.35270e-05 -1.35271e-05  2.76478e-11
5.109492409e+00 -1.29850e-05 -1.29850e-05  4.10459e-11
5.111621364e+00 -1.31448e-05 -1.31448e-05  3.08867e-11
5.113751207e+00 -1.33475e-05 -1.33475e-05  4.43238e-11
5.115881936e+00 -1.40115e-05 -1.40116e-05  3.74253e-11
5.118013554e+00 -1.38862e-05 -1.38863e-05  4.34602e-11
5.120146060e+00 -1.35213e-05 -1.35213e-05  1.93817e-11
5.122279454e+00 -1.38507e-05 -1.38508e-05  4.69015e-11
5.124413737e+00 -1.30545e-05 -1.30546e-05  2.52277e-11
5.126548909e+00 -1.37152e-05 -1.37152e-05  3.42941e-11
5.128684971e+00 -1.26951e-05 -1.26951e-05  2.34533e-11
5.130821923e+00 -1.26079e-05 -1.26079e-05  3.10074e-11
5.132959766e+00 -1.29909e-05 -1.29909e-05  2.09601e-11
5.135098499e+00 -1.37926e-05 -1.37926e-05  2.74737e-11
5.137238123e+00 -1.33787e-05 -1.33787e-05  4.51054e-11
5.139378639e+00 -1.27128e-05 -1.27129e-05  3.91330e-11
5.141520047e+00 -1.34630e-05 -1.34630e-05  3.59690e-11
5.143662347e+00 -1.31100e-05 -1.31100e-05  3.43624e-11
5.145805540e+00 -1.17105e-05 -1.17105e-05  2.90965e-11
5.147949625e+00 -1.25577e-05 -1.25578e-05  7.93742e-11
5.150094604e+00 -1.26379e-05 -1.26379e-05  3.99165e-11
5.152240477e+00 -1.42035e-05 -1.42036e-05  4.00943e-11
5.154387244e+00 -1.40443e-05 -1.40443e-05  3.70268e-11
5.156534905e+00 -1.32925e-05 -1.32925e-05  4.11175e-11
5.158683462e+00 -1.28979e-05 -1.28980e-05  4.15494e-11
5.160832913e+00 -1.19195e-05 -1.19196e-05  4.67194e-11
5.162983260e+00 -1.29770e-05 -1.29771e-05  5.29317e-11
5.165134503e+00 -1.23016e-05 -1.23016e-05  5.95788e-11
5.167286642e+00 -1.24779e-05 -1.24780e-05  6.76754e-11
5.169439679e+00 -1.22782e-05 -1.22783e-05  5.10146e-11
5.171593612e+00 -1.31487e-05 -1.31487e-05  3.34038e-11
5.173748442e+00 -1.20237e-05 -1.20237e-05  1.63931e-11
5.175904171e+00 -1.28203e-05 -1.28204e-05  6.50819e-11
5.178060798e+00 -1.33476e-05 -1.33476e-05  6.18140e-11
5.180218323e+00 -1.22943e-05 -1.22944e-05  4.62458e-11
5.182376747e+00 -1.27267e-05 -1.27268e-05  5.46970e-11
5.184536071e+00 -1.21863e-05 -1.21864e-05  4.59449e-11
5.186696294e+00 -1.25742e-05 -1.25742e-05  5.67784e-11
5.188857418e+00 -1.32755e-05 -1.32756e-05  5.17511e-11
5.191019442e+00 -1.32813e-05 -1.32813e-05  5.85665e-11
5.193182366e+00 -1.25850e-05 -1.25851e-05  5.87636e-11
5.195346192e+00 -1.18912e-05 -1.18912e-05  5.92319e-11
5.197510920e+00 -1.18471e-05 -1.18471e-05  6.65686e-11
5.199676550e+00 -1.18789e-05 -1.18789e-05  5.92111e-11
5.201843081e+00 -1.13181e-05 -1.13182e-05  8.35349e-11
5.204010516e+00 -1.29337e-05 -1.29338e-05  6.40083e-11
5.206178854e+00 -1.23338e-05 -1.23339e-05  7.09454e-11
5.208348095e+00 -1.33333e-05 -1.33334e-05  6.21273e-11
5.210518240e+00 -1.13279e-05 -1.13280e-05  7.19199e-11
5.212689289e+00 -1.17457e-05 -1.17458e-05  5.17288e-11
5.214861243e+00 -1.26188e-05 -1.26189e-05  6.13826e-11
5.217034102e+00 -1.24624e-05 -1.24625e-05  5.94444e-11
5.219207866e+00 -1.24958e-05 -1.24959e-05  7.36388e-11
5.221382536e+00 -1.16741e-05 -1.16742e-05  6.14641e-11
5.223558112e+00 -1.17630e-05 -1.17630e-05  7.37931e-11
5.225734595e+00 -1.17099e-05 -1.17100e-05  6.15838e-11
5.227911984e+00 -1.21632e-05 -1.21632e-05  7.26596e-11
5.230090281e+00 -1.22564e-05 -1.22565e-05  6.67750e-11
5.232269485e+00 -1.17279e-05 -1.17279e-05  6.35874e-11
5.234449597e+00 -1.21245e-05 -1.21246e-05  7.65561e-11
5.236630618e+00 -1.23057e-05 -1.23058e-05  6.66806e-11
5.238812547e+00 -1.13804e-05 -1.13805e-05  6.95403e-11
5.240995386e+00 -1.06171e-05 -1.06171e-05  6.67907e-11
5.243179134e+00 -1.18406e-05 -1.18406e-05  6.71611e-11
5.245363792e+00 -1.08910e-05 -1.08910e-05  6.70728e-11
5.247549360e+00 -1.23645e-05 -1.23645e-05  6.82496e-11
5.249735839e+00 -1.23151e-05 -1.23152e-05  6.76931e-11
5.251923229e+00 -1.12685e-05 -1.12685e-05  7.35919e-11
5.254111531e+00 -1.15265e-05 -1.15266e-05  6.70711e-11
5.256300744e+00 -1.17377e-05 -1.17378e-05  6.21764e-11
5.258490869e+00 -1.14343e-05 -1.14344e-05  5.56331e-11
5.260681907e+00 -1.24032e-05 -1.24033e-05  6.42084e-11
5.262873858e+00 -1.19734e-05 -1.19735e-05  5.67145e-11
5.265066722e+00 -1.21115e-05 -1.21115e-05  6.56990e-11
5.267260500e+00 -1.11636e-05 -1.11636e-05  5.69126e-11
5.269455191e+00 -1.04634e-05 -1.04635e-05  6.75947e-11
5.271650798e+00 -1.18685e-05 -1.18686e-05  6.69559e-11
5.273847319e+00 -1.17374e-05 -1.17374e-05  6.75357e-11
5.276044755e+00 -1.04859e-05 -1.04859e-05  7.23948e-11
5.278243107e+00 -1.07748e-05 -1.07749e-05  6.42257e-11
5.280442375e+00 -1.07185e-05 -1.07185e-05  3.80059e-11
5.282642560e+00 -1.07412e-05 -1.07412e-05  5.12161e-11
5.284843661e+00 -1.14083e-05 -1.14083e-05  5.59385e-11
5.287045679e+00 -1.10085e-05 -1.10086e-05  4.44989e-11
5.289248615e+00 -1.17855e-05 -1.17856e-05  6.03802e-11
5.291452468e+00 -1.12213e-05 -1.12214e-05  8.61945e-11
5.293657240e+00 -1.04964e-05 -1.04964e-05  7.57754e-11
5.295862930e+00 -1.10007e-05 -1.10007e-05  4.50564e-11
5.298069540e+00 -1.07948e-05 -1.07949e-05  6.10217e-11
5.300277069e+00 -1.17695e-05 -1.17696e-05  4.11185e-11
5.302485518e+00 -1.19657e-05 -1.19658e-05  5.23523e-11
5.304694887e+00 -1.08579e-05 -1.08580e-05  5.02063e-11
5.306905176e+00 -1.09758e-05 -1.09759e-05  7.38015e-11
5.309116387e+00 -1.09100e-05 -1.09101e-05  4.05349e-11
5.311328519e+00 -1.02572e-05 -1.02573e-05  4.69311e-11
5.313541572e+00 -1.12467e-05 -1.12468e-05  4.36453e-11
5.315755548e+00 -1.14852e-05 -1.14853e-05  6.09856e-11
5.317970446e+00 -1.08083e-05 -1.08083e-05  4.66056e-11
5.320186267e+00 -1.01206e-05 -1.01206e-05  4.94977e-11
5.322403011e+00 -1.00052e-05 -1.00053e-05  4.42874e-11
5.324620679e+00 -1.18487e-05 -1.18487e-05  4.43891e-11
5.326839271e+00 -1.06215e-05 -1.06215e-05  4.09188e-11
5.329058787e+00 -1.08470e-05 -1.08471e-05  4.68540e-11
5.331279229e+00 -1.08060e-05 -1.08060e-05  4.26386e-11
5.333500595e+00 -1.12543e-05 -1.12544e-05  4.44229e-11
5.335722887e+00 -1.03837e-05 -1.03837e-05  4.17766e-11
5.337946105e+00 -1.10091e-05 -1.10092e-05  4.26263e-11
5.340170249e+00 -1.04350e-05 -1.04351e-05  5.07104e-11
5.342395320e+00 -1.05648e-05 -1.05649e-05  4.22932e-11
5.344621318e+00 -1.01654e-05 -1.01654e-05  5.92503e-11
5.346848244e+00 -1.08231e-05 -1.08232e-05  6.33274e-11
5.349076097e+00 -9.62604e-06 -9.62615e-06  1.03300e-10
5.351304879e+00 -9.40701e-06 -9.40710e-06  9.10053e-11
5.353534589e+00 -1.04751e-05 -1.04752e-05  1.02793e-10
5.355765228e+00 -1.10297e-05 -1.10298e-05  6.29516e-11
5.357996797e+00 -1.04762e-05 -1.04763e-05  9.15287e-11
5.360229296e+00 -1.06665e-05 -1.06666e-05  4.16411e-11
5.362462725e+00 -1.03380e-05 -1.03380e-05  5.27789e-11
5.364697084e+00 -9.63995e-06 -9.63999e-06  4.00421e-11
5.366932375e+00 -9.72011e-06 -9.72015e-06  4.64122e-11
5.369168597e+00 -1.06876e-05 -1.06876e-05  3.77294e-11
5.371405750e+00 -1.00394e-05 -1.00395e-05  5.15194e-11
5.373643836e+00 -1.07063e-05 -1.07064e-05  4.00982e-11
5.375882854e+00 -1.04180e-05 -1.04181e-05  5.24790e-11
5.378122805e+00 -9.73995e-06 -9.73999e-06  4.10615e-11
5.380363690e+00 -9.94687e-06 -9.94694e-06  6.92497e-11
5.382605508e+00 -1.07654e-05 -1.07655e-05  3.54444e-11
5.384848260e+00 -1.00735e-05 -1.00735e-05  4.46778e-11
5.387091947e+00 -1.00504e-05 -1.00505e-05  4.14455e-11
5.389336569e+00 -9.50465e-06 -9.50469e-06  4.38262e-11
5.391582126e+00 -9.37981e-06 -9.37984e-06  3.43165e-11
5.393828618e+00 -1.01312e-05 -1.01312e-05  4.09946e-11
5.396076047e+00 -1.09299e-05 -1.09299e-05  3.53815e-11
5.398324412e+00 -1.05813e-05 -1.05813e-05  4.91577e-11
5.400573714e+00 -1.00259e-05 -1.00260e-05  3.51446e-11
5.402823953e+00 -9.62859e-06 -9.62863e-06  4.15139e-11
5.405075129e+00 -9.66298e-06 -9.66301e-06  3.47168e-11
5.407327244e+00 -9.69674e-06 -9.69678e-06  4.44390e-11
5.409580297e+00 -9.27987e-06 -9.27991e-06  4.65525e-11
5.411834289e+00 -9.34728e-06 -9.34738e-06  1.00401e-10
5.414089220e+00 -1.01806e-05 -1.01807e-05  4.65046e-11
5.416345090e+00 -9.43437e-06 -9.43443e-06  5.46891e-11
5.418601901e+00 -9.38409e-06 -9.38419e-06  9.63956e-11
5.420859652e+00 -9.44038e-06 -9.44049e-06  1.09482e-10
5.423118343e+00 -9.14696e-06 -9.14707e-06  1.13237e-10
5.425377976e+00 -9.60744e-06 -9.60752e-06  8.45987e-11
5.427638550e+00 -9.04763e-06 -9.04771e-06  7.28906e-11
5.429900066e+00 -8.87541e-06 -8.87545e-06  4.82336e-11
5.432162524e+00 -9.50043e-06 -9.50047e-06  4.26632e-11
5.434425925e+00 -9.81364e-06 -9.81368e-06  4.04966e-11
5.436690269e+00 -8.72310e-06 -8.72314e-06  4.75740e-11
5.438955557e+00 -9.85290e-06 -9.85294e-06  4.18271e-11
5.441221789e+00 -1.00908e-05 -1.00908e-05  4.71464e-11
5.443488964e+00 -9.29944e-06 -9.29956e-06  1.15388e-10
5.445757085e+00 -9.63362e-06 -9.63367e-06  5.29062e-11
5.448026150e+00 -9.40575e-06 -9.40579e-06  4.28167e-11
5.450296161e+00 -9.60217e-06 -9.60223e-06  5.69475e-11
5.452567118e+00 -9.31877e-06 -9.31882e-06  4.35035e-11
5.454839021e+00 -8.76564e-06 -8.76569e-06  5.17529e-11
5.457111870e+00 -9.95450e-06 -9.95455e-06  4.68140e-11
5.459385667e+00 -8.78272e-06 -8.78278e-06  5.75111e-11
5.461660411e+00 -9.67381e-06 -9.67390e-06  8.61544e-11
5.463936103e+00 -8.74171e-06 -8.74183e-06  1.25164e-10
5.466212743e+00 -9.66342e-06 -9.66355e-06  1.31833e-10
5.468490331e+00 -8.59457e-06 -8.59468e-06  1.01892e-10
5.470768869e+00 -9.72929e-06 -9.72934e-06  5.63003e-11
5.473048356e+00 -9.64199e-06 -9.64205e-06  5.44753e-11
5.475328793e+00 -9.26872e-06 -9.26879e-06  6.47790e-11
5.477610180e+00 -8.52219e-06 -8.52229e-06  1.05230e-10
5.479892518e+00 -9.23946e-06 -9.23957e-06  1.11881e-10
5.482175806e+00 -9.06295e-06 -9.06302e-06  6.49799e-11
