results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48732e-05 -1.48732e-05  3.44795e-11
5.002083333e+00 -1.49391e-05 -1.49391e-05  5.25965e-11
5.004167535e+00 -1.57731e-05 -1.57731e-05  3.25359e-11
5.006252605e+00 -1.63916e-05 -1.63917e-05  2.91045e-11
5.008338543e+00 -1.58330e-05 -1.58331e-05  3.23087e-11
5.010425351e+00 -1.57314e-05 -1.57314e-05  3.27163e-11
5.012513028e+00 -1.43346e-05 -1.43347e-05  2.92995e-11
5.014601575e+00 -1.52529e-05 -1.52529e-05  2.86529e-11
5.016690992e+00 -1.52522e-05 -1.52523e-05  5.32867e-11
5.018781280e+00 -1.42745e-05 -1.42745e-05  8.22841e-11
5.020872439e+00 -1.43502e-05 -1.43503e-05  8.50730e-11
5.022964469e+00 -1.53057e-05 -1.53057e-05  2.22517e-11
5.025057371e+00 -1.41440e-05 -1.41440e-05  3.05973e-11
5.027151145e+00 -1.42217e-05 -1.42217e-05  2.99725e-11
5.029245792e+00 -1.44890e-05 -1.44890e-05  6.11977e-11
5.031341311e+00 -1.54972e-05 -1.54972e-05  3.34144e-11
5.033437703e+00 -1.47716e-05 -1.47717e-05  3.29146e-11
5.035534969e+00 -1.55778e-05 -1.55778e-05  2.31483e-11
5.037633108e+00 -1.57806e-05 -1.57807e-05  3.32371e-11
5.039732122e+00 -1.36333e-05 -1.36333e-05  2.28515e-11
5.041832010e+00 -1.52079e-05 -1.52079e-05  3.47083e-11
5.043932774e+00 -1.43225e-05 -1.43225e-05  2.22422e-11
5.046034412e+00 -1.47050e-05 -1.47050e-05  3.66601e-11
5.048136927e+00 -1.39354e-05 -1.39354e-05  2.37532e-11
5.050240317e+00 -1.54317e-05 -1.54318e-05  3.31449e-11
5.052344584e+00 -1.54982e-05 -1.54983e-05  2.44264e-11
5.054449727e+00 -1.44472e-05 -1.44472e-05  3.64486e-11
5.056555748e+00 -1.46719e-05 -1.46719e-05  2.54472e-11
5.058662646e+00 -1.42144e-05 -1.42144e-05  4.10555e-11
5.060770422e+00 -1.44323e-05 -1.44324e-05  3.72744e-11
5.062879077e+00 -1.39078e-05 -1.39079e-05  4.23869e-11
5.064988610e+00 -1.41150e-05 -1.41151e-05  2.31973e-11
5.067099022e+00 -1.38685e-05 -1.38685e-05  4.52058e-11
5.069210313e+00 -1.48886e-05 -1.48886e-05  2.25426e-11
5.071322484e+00 -1.45506e-05 -1.45506e-05  5.00135e-11
5.073435535e+00 -1.48103e-05 -1.48103e-05  2.24036e-11
5.075549466e+00 -1.41765e-05 -1.41765e-05  4.42686e-11
5.077664279e+00 -1.38602e-05 -1.38603e-05  3.18549e-11
5.079779972e+00 -1.37767e-05 -1.37768e-05  5.37540e-11
5.081896547e+00 -1.37429e-05 -1.37430e-05  8.24935e-11
5.084014004e+00 -1.41571e-05 -1.41572e-05  7.12848e-11
5.086132343e+00 -1.38780e-05 -1.38781e-05  7.39624e-11
5.088251565e+00 -1.41505e-05 -1.41505e-05  6.00709e-11
5.090371670e+00 -1.41424e-05 -1.41425e-05  3.14250e-11
5.092492658e+00 -1.28161e-05 -1.28161e-05  6.24387e-11
5.094614530e+00 -1.34274e-05 -1.34274e-05  2.99104e-11
5.096737286e+00 -1.45457e-05 -1.45458e-05  6.56939e-11
5.098860926e+00 -1.40818e-05 -1.40819e-05  6.64139e-11
5.100985452e+00 -1.46864e-05 -1.46865e-05  5.78554e-11
5.103110862e+00 -1.41922e-05 -1.41923e-05  4.19733e-11
5.105237159e+00 -1.32732e-05 -1.32732e-05  5.77266e-11
5.107364341e+00 -1.34944e-05 -1.34944e-05  4.43480e-11
5.109492409e+00 -1.29588e-05 -1.29589e-05  6.18206e-11
5.111621364e+00 -1.31129e-05 -1.31129e-05  5.31723e-11
5.113751207e+00 -1.33215e-05 -1.33216e-05  6.78870e-11
5.115881936e+00 -1.39773e-05 -1.39774e-05  6.85151e-11
5.118013554e+00 -1.38593e-05 -1.38593e-05  6.34899e-11
5.120146060e+00 -1.34856e-05 -1.34857e-05  3.01066e-11
5.122279454e+00 -1.38247e-05 -1.38247e-05  6.91971e-11
5.124413737e+00 -1.30224e-05 -1.30224e-05  4.06215e-11
5.126548909e+00 -1.36843e-05 -1.36844e-05  5.18323e-11
5.128684971e+00 -1.26626e-05 -1.26626e-05  3.64310e-11
5.130821923e+00 -1.25784e-05 -1.25785e-05  4.56747e-11
5.132959766e+00 -1.29568e-05 -1.29568e-05  3.16767e-11
5.135098499e+00 -1.37587e-05 -1.37588e-05  4.35008e-11
5.137238123e+00 -1.33463e-05 -1.33464e-05  8.49880e-11
5.139378639e+00 -1.26816e-05 -1.26817e-05  7.66342e-11
5.141520047e+00 -1.34293e-05 -1.34293e-05  6.73403e-11
5.143662347e+00 -1.30800e-05 -1.30801e-05  5.54340e-11
5.145805540e+00 -1.16798e-05 -1.16798e-05  6.18561e-11
5.147949625e+00 -1.25355e-05 -1.25356e-05  1.24000e-10
5.150094604e+00 -1.26053e-05 -1.26054e-05  9.11571e-11
5.152240477e+00 -1.41736e-05 -1.41737e-05  6.26086e-11
5.154387244e+00 -1.40143e-05 -1.40143e-05  5.69485e-11
5.156534905e+00 -1.32649e-05 -1.32649e-05  6.22591e-11
5.158683462e+00 -1.28712e-05 -1.28713e-05  6.30224e-11
5.160832913e+00 -1.18969e-05 -1.18969e-05  7.03395e-11
5.162983260e+00 -1.29527e-05 -1.29528e-05  8.08636e-11
5.165134503e+00 -1.22818e-05 -1.22819e-05  8.65238e-11
5.167286642e+00 -1.24595e-05 -1.24596e-05  9.11150e-11
5.169439679e+00 -1.22630e-05 -1.22630e-05  5.37303e-11
5.171593612e+00 -1.31332e-05 -1.31333e-05  3.35164e-11
