# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018)
# Atmospheric transmittance spectrum synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Synthesized on Tue Mar 19 04:13:51 2019
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Aerosols considered: Cloud,WaterIce
# Aerosols sources: White_GSFC[reff=1.0um 0.10-1000000.00um],CRISM_Wolff[reff=2.0um 0.31-99.57um]
# Aerosols opacities: 1,1
# Aerosols opacity units: scl,scl
# Aerosols sizes: 10,49.498
# Aerosols size units: um,um
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Wave/freq Total N2 CO2 H2O Cloud WaterIce CIA
5.000000000e+00  0.00000  1.00000  0.00705  0.00000  0.00000  0.00002  0.99877
5.002083333e+00  0.00000  1.00000  0.01222  0.00000  0.00000  0.00002  0.99885
5.004167535e+00  0.00000  1.00000  0.01207  0.00000  0.00000  0.00002  0.99903
5.006252605e+00  0.00000  1.00000  0.01902  0.00000  0.00000  0.00002  0.99913
5.008338543e+00  0.00000  1.00000  0.00988  0.00000  0.00000  0.00002  0.99918
5.010425351e+00  0.00000  1.00000  0.00545  0.00000  0.00000  0.00002  0.99899
5.012513028e+00  0.00000  1.00000  0.00336  0.00000  0.00000  0.00002  0.99905
5.014601575e+00 -0.00000  1.00000  0.03249 -0.00000  0.00000  0.00002  0.99904
5.016690992e+00 -0.00000  1.00000  0.00651 -0.00000  0.00000  0.00002  0.99885
5.018781280e+00 -0.00000  1.00000  0.03912 -0.00000  0.00000  0.00002  0.99875
5.020872439e+00  0.00000  1.00000  0.00725  0.00000  0.00000  0.00003  0.99898
5.022964469e+00  0.00000  1.00000  0.04748  0.00000  0.00000  0.00003  0.99898
5.025057371e+00  0.00000  1.00000  0.01546  0.00000  0.00000  0.00003  0.99899
5.027151145e+00  0.00000  1.00000  0.04942  0.00000  0.00000  0.00003  0.99898
5.029245792e+00  0.00000  1.00000  0.01199  0.00000  0.00000  0.00003  0.99923
5.031341311e+00  0.00000  1.00000  0.04610  0.00000  0.00000  0.00003  0.99916
5.033437703e+00  0.00000  1.00000  0.00609  0.00000  0.00000  0.00003  0.99918
5.035534969e+00  0.00000  1.00000  0.03580  0.00000  0.00000  0.00003  0.99956
5.037633108e+00  0.00000  1.00000  0.00112  0.00000  0.00000  0.00003  0.99946
5.039732122e+00  0.00000  1.00000  0.03396  0.00000  0.00000  0.00003  0.99929
5.041832010e+00  0.00000  1.00000 -0.00113  0.00000  0.00000  0.00003  0.99925
5.043932774e+00  0.00000  1.00000  0.03598  0.00000  0.00000  0.00003  0.99946
5.046034412e+00 -0.00000  1.00000 -0.00226 -0.00000  0.00000  0.00003  0.99949
5.048136927e+00 -0.00000  1.00000  0.02673 -0.00000  0.00000  0.00003  0.99947
5.050240317e+00  0.00000  1.00000  0.00356  0.00000  0.00000  0.00003  0.99954
5.052344584e+00  0.00000  1.00000  0.00951  0.00000  0.00000  0.00003  0.99953
5.054449727e+00  0.00000  1.00000  0.00213  0.00000  0.00000  0.00003  0.99954
5.056555748e+00  0.00000  1.00000  0.00718  0.00000  0.00000  0.00003  0.99968
5.058662646e+00  0.00000  1.00000  0.00081  0.00000  0.00000  0.00003  0.99948
5.060770422e+00  0.00000  1.00000  0.00498  0.00000  0.00000  0.00003  0.99957
5.062879077e+00  0.00000  1.00000  0.00006  0.00000  0.00000  0.00003  0.99942
5.064988610e+00  0.00000  1.00000  0.00153  0.00000  0.00000  0.00003  0.99962
5.067099022e+00 -0.00000  1.00000 -0.00008  0.00000  0.00000  0.00003  0.99949
5.069210313e+00 -0.00000  1.00000  0.00064 -0.00000  0.00000  0.00004  0.99976
5.071322484e+00 -0.00000  1.00000 -0.00004 -0.00000  0.00000  0.00004  0.99963
5.073435535e+00 -0.00000  1.00000  0.00026 -0.00000  0.00000  0.00004  0.99961
5.075549466e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.00004  0.99957
5.077664279e+00  0.00000  1.00000  0.00006  0.00000  0.00000  0.00004  0.99963
5.079779972e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.00004  0.99955
5.081896547e+00  0.00000  1.00000  0.00005  0.00000  0.00000  0.00004  0.99957
5.084014004e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.00004  0.99933
5.086132343e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.00004  0.99965
5.088251565e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99963
5.090371670e+00  0.00000  1.00000  0.00001  0.00000  0.00000  0.00004  0.99954
5.092492658e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.00004  0.99979
5.094614530e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99977
5.096737286e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00004  0.99976
5.098860926e+00 -0.00000  1.00000  0.00000 -0.00000  0.00000  0.00004  0.99975
5.100985452e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99973
5.103110862e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99979
5.105237159e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99983
5.107364341e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00004  0.99979
5.109492409e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00005  0.99967
5.111621364e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00005  0.99980
5.113751207e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00005  0.99972
5.115881936e+00 -0.00000  1.00000  0.00001 -0.00000  0.00000  0.00005  0.99987
5.118013554e+00  0.00000  1.00000 -0.00000  0.00000  0.00000  0.00005  0.99979
5.120146060e+00  0.00000  1.00000  0.00004  0.00000  0.00000  0.00005  0.99992
5.122279454e+00 -0.00000  1.00000 -0.00000  0.00000  0.00000  0.00005  0.99985
5.124413737e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00005  1.00000
5.126548909e+00  0.00000  1.00000  0.00076  0.00000  0.00000  0.00005  0.99995
5.128684971e+00  0.00000  1.00000  0.00286  0.00000  0.00000  0.00005  0.99979
5.130821923e+00  0.00000  1.00000  0.00327  0.00000  0.00000  0.00005  0.99987
5.132959766e+00  0.00000  1.00000  0.01061  0.00000  0.00000  0.00005  0.99992
5.135098499e+00  0.00000  1.00000  0.00346  0.00000  0.00000  0.00005  0.99993
5.137238123e+00  0.00000  1.00000  0.01686  0.00000  0.00000  0.00005  0.99984
5.139378639e+00  0.00000  1.00000  0.00120  0.00000  0.00000  0.00005  0.99980
5.141520047e+00  0.00000  1.00000  0.00877  0.00000  0.00000  0.00006  0.99978
5.143662347e+00  0.00000  1.00000 -0.00025  0.00000  0.00000  0.00006  0.99995
5.145805540e+00 -0.00000  1.00000  0.00119 -0.00000  0.00000  0.00006  0.99954
5.147949625e+00  0.00000  1.00000 -0.00013  0.00000  0.00000  0.00006  0.99974
5.150094604e+00  0.00000  1.00000  0.00008  0.00000  0.00000  0.00006  0.99877
5.152240477e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99977
5.154387244e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99983
5.156534905e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99992
5.158683462e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99988
5.160832913e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99992
5.162983260e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99999
5.165134503e+00  0.00000  1.00000  0.00000  0.00000  0.00000  0.00006  0.99998
5.167286642e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00006  0.99997
5.169439679e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00007  0.99997
5.171593612e+00 -0.00000  1.00000 -0.00000 -0.00000  0.00000  0.00007  0.99997
