results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48083e-05 -1.48083e-05  9.53537e-12
5.002083333e+00 -1.48721e-05 -1.48721e-05  1.35937e-11
5.004167535e+00 -1.57061e-05 -1.57061e-05  9.74755e-12
5.006252605e+00 -1.63217e-05 -1.63217e-05  8.53499e-12
5.008338543e+00 -1.57577e-05 -1.57577e-05  8.51225e-12
5.010425351e+00 -1.56578e-05 -1.56578e-05  8.55123e-12
5.012513028e+00 -1.42723e-05 -1.42723e-05  8.63253e-12
5.014601575e+00 -1.51889e-05 -1.51889e-05  8.84982e-12
5.016690992e+00 -1.51855e-05 -1.51855e-05  1.34111e-11
5.018781280e+00 -1.42126e-05 -1.42126e-05  2.00864e-11
5.020872439e+00 -1.42863e-05 -1.42864e-05  2.63008e-11
5.022964469e+00 -1.52428e-05 -1.52428e-05  6.83575e-12
5.025057371e+00 -1.40840e-05 -1.40840e-05  9.09380e-12
5.027151145e+00 -1.41658e-05 -1.41659e-05  9.78449e-12
5.029245792e+00 -1.44260e-05 -1.44260e-05  1.71440e-11
5.031341311e+00 -1.54340e-05 -1.54340e-05  1.07912e-11
5.033437703e+00 -1.47068e-05 -1.47068e-05  9.01722e-12
5.035534969e+00 -1.55163e-05 -1.55163e-05  8.93478e-12
5.037633108e+00 -1.57113e-05 -1.57113e-05  8.89402e-12
5.039732122e+00 -1.35798e-05 -1.35798e-05  8.98283e-12
5.041832010e+00 -1.51421e-05 -1.51421e-05  8.93469e-12
5.043932774e+00 -1.42655e-05 -1.42655e-05  9.00929e-12
5.046034412e+00 -1.46408e-05 -1.46408e-05  8.99408e-12
5.048136927e+00 -1.38818e-05 -1.38818e-05  9.29025e-12
5.050240317e+00 -1.53652e-05 -1.53652e-05  9.05414e-12
5.052344584e+00 -1.54368e-05 -1.54368e-05  9.07169e-12
5.054449727e+00 -1.43839e-05 -1.43839e-05  9.10321e-12
5.056555748e+00 -1.46139e-05 -1.46139e-05  9.19909e-12
5.058662646e+00 -1.41494e-05 -1.41494e-05  9.45205e-12
5.060770422e+00 -1.43765e-05 -1.43766e-05  1.13365e-11
5.062879077e+00 -1.38433e-05 -1.38433e-05  9.32564e-12
5.064988610e+00 -1.40608e-05 -1.40608e-05  9.31562e-12
5.067099022e+00 -1.38032e-05 -1.38032e-05  9.35594e-12
5.069210313e+00 -1.48329e-05 -1.48329e-05  9.40856e-12
5.071322484e+00 -1.44800e-05 -1.44800e-05  9.46480e-12
5.073435535e+00 -1.47560e-05 -1.47560e-05  9.53612e-12
5.075549466e+00 -1.41110e-05 -1.41110e-05  9.65605e-12
5.077664279e+00 -1.38050e-05 -1.38051e-05  9.86186e-12
5.079779972e+00 -1.37090e-05 -1.37090e-05  1.05598e-11
5.081896547e+00 -1.36836e-05 -1.36836e-05  2.47307e-11
5.084014004e+00 -1.40839e-05 -1.40840e-05  1.59978e-11
5.086132343e+00 -1.38202e-05 -1.38203e-05  2.06608e-11
5.088251565e+00 -1.40747e-05 -1.40747e-05  1.05320e-11
5.090371670e+00 -1.40873e-05 -1.40873e-05  1.00630e-11
5.092492658e+00 -1.27433e-05 -1.27434e-05  1.00064e-11
5.094614530e+00 -1.33763e-05 -1.33763e-05  1.00479e-11
5.096737286e+00 -1.44594e-05 -1.44594e-05  1.02632e-11
5.098860926e+00 -1.40266e-05 -1.40266e-05  1.74945e-11
5.100985452e+00 -1.46090e-05 -1.46090e-05  1.06717e-11
5.103110862e+00 -1.41307e-05 -1.41307e-05  1.03720e-11
5.105237159e+00 -1.31996e-05 -1.31996e-05  1.02410e-11
5.107364341e+00 -1.34346e-05 -1.34346e-05  1.05069e-11
5.109492409e+00 -1.28843e-05 -1.28843e-05  1.06410e-11
5.111621364e+00 -1.30560e-05 -1.30560e-05  1.33030e-11
5.113751207e+00 -1.32416e-05 -1.32416e-05  1.22518e-11
5.115881936e+00 -1.39180e-05 -1.39180e-05  1.82373e-11
5.118013554e+00 -1.37753e-05 -1.37754e-05  1.01544e-11
5.120146060e+00 -1.34346e-05 -1.34346e-05  1.05691e-11
5.122279454e+00 -1.37381e-05 -1.37381e-05  1.06115e-11
5.124413737e+00 -1.29670e-05 -1.29670e-05  1.07690e-11
5.126548909e+00 -1.36146e-05 -1.36146e-05  1.10998e-11
5.128684971e+00 -1.26105e-05 -1.26105e-05  1.10948e-11
5.130821923e+00 -1.25165e-05 -1.25165e-05  1.11923e-11
5.132959766e+00 -1.29051e-05 -1.29051e-05  1.12305e-11
5.135098499e+00 -1.36958e-05 -1.36959e-05  1.20278e-11
5.137238123e+00 -1.32898e-05 -1.32898e-05  2.71381e-11
5.139378639e+00 -1.26260e-05 -1.26261e-05  2.12569e-11
5.141520047e+00 -1.33740e-05 -1.33740e-05  2.18083e-11
5.143662347e+00 -1.30147e-05 -1.30147e-05  1.25794e-11
5.145805540e+00 -1.16345e-05 -1.16345e-05  1.73541e-11
5.147949625e+00 -1.24612e-05 -1.24613e-05  5.42188e-11
5.150094604e+00 -1.25560e-05 -1.25560e-05  1.71965e-11
5.152240477e+00 -1.40958e-05 -1.40958e-05  1.32002e-11
5.154387244e+00 -1.39379e-05 -1.39379e-05  1.21976e-11
5.156534905e+00 -1.31922e-05 -1.31922e-05  1.19115e-11
5.158683462e+00 -1.28021e-05 -1.28021e-05  1.17486e-11
5.160832913e+00 -1.18231e-05 -1.18232e-05  1.18132e-11
5.162983260e+00 -1.28757e-05 -1.28757e-05  1.18866e-11
5.165134503e+00 -1.21914e-05 -1.21914e-05  1.16731e-11
5.167286642e+00 -1.23650e-05 -1.23650e-05  1.17389e-11
5.169439679e+00 -1.21416e-05 -1.21416e-05  1.18088e-11
5.171593612e+00 -1.29833e-05 -1.29833e-05  1.23839e-11
5.173748442e+00 -1.18312e-05 -1.18312e-05  1.71922e-11
5.175904171e+00 -1.26938e-05 -1.26938e-05  1.21029e-11
5.178060798e+00 -1.32360e-05 -1.32361e-05  1.20351e-11
5.180218323e+00 -1.22034e-05 -1.22034e-05  1.20677e-11
5.182376747e+00 -1.26166e-05 -1.26166e-05  1.21344e-11
5.184536071e+00 -1.20950e-05 -1.20950e-05  1.22198e-11
5.186696294e+00 -1.24584e-05 -1.24584e-05  1.23922e-11
5.188857418e+00 -1.31744e-05 -1.31744e-05  1.25071e-11
5.191019442e+00 -1.31524e-05 -1.31524e-05  1.27818e-11
5.193182366e+00 -1.24882e-05 -1.24882e-05  1.29849e-11
5.195346192e+00 -1.17709e-05 -1.17709e-05  1.40521e-11
5.197510920e+00 -1.17554e-05 -1.17554e-05  1.63199e-11
5.199676550e+00 -1.17557e-05 -1.17557e-05  4.55814e-11
5.201843081e+00 -1.12307e-05 -1.12307e-05  3.55763e-11
5.204010516e+00 -1.28086e-05 -1.28086e-05  1.75632e-11
5.206178854e+00 -1.22261e-05 -1.22261e-05  1.53943e-11
5.208348095e+00 -1.32000e-05 -1.32000e-05  1.61171e-11
5.210518240e+00 -1.12227e-05 -1.12227e-05  1.95923e-11
5.212689289e+00 -1.16141e-05 -1.16141e-05  4.49708e-11
5.214861243e+00 -1.24803e-05 -1.24803e-05  3.82549e-11
5.217034102e+00 -1.23280e-05 -1.23280e-05  1.88526e-11
5.219207866e+00 -1.23906e-05 -1.23906e-05  1.53259e-11
5.221382536e+00 -1.15560e-05 -1.15560e-05  1.44832e-11
5.223558112e+00 -1.16629e-05 -1.16629e-05  1.43958e-11
5.225734595e+00 -1.15930e-05 -1.15930e-05  1.43793e-11
5.227911984e+00 -1.20574e-05 -1.20575e-05  1.41078e-11
5.230090281e+00 -1.21451e-05 -1.21451e-05  1.46706e-11
5.232269485e+00 -1.16082e-05 -1.16082e-05  1.58536e-11
5.234449597e+00 -1.20239e-05 -1.20240e-05  3.37216e-11
5.236630618e+00 -1.21828e-05 -1.21829e-05  2.95884e-11
5.238812547e+00 -1.12901e-05 -1.12901e-05  1.86429e-11
5.240995386e+00 -1.05112e-05 -1.05113e-05  3.64472e-11
5.243179134e+00 -1.17508e-05 -1.17508e-05  1.73122e-11
5.245363792e+00 -1.07806e-05 -1.07806e-05  1.47448e-11
5.247549360e+00 -1.22700e-05 -1.22700e-05  1.46952e-11
5.249735839e+00 -1.21901e-05 -1.21901e-05  1.77400e-11
5.251923229e+00 -1.11875e-05 -1.11875e-05  3.14091e-11
5.254111531e+00 -1.14058e-05 -1.14059e-05  1.22300e-11
5.256300744e+00 -1.16196e-05 -1.16196e-05  1.48606e-11
5.258490869e+00 -1.13312e-05 -1.13312e-05  1.56424e-11
5.260681907e+00 -1.22943e-05 -1.22943e-05  1.48086e-11
5.262873858e+00 -1.18796e-05 -1.18797e-05  1.46619e-11
5.265066722e+00 -1.20032e-05 -1.20032e-05  1.48163e-11
5.267260500e+00 -1.10769e-05 -1.10769e-05  1.50273e-11
5.269455191e+00 -1.03648e-05 -1.03648e-05  1.59376e-11
5.271650798e+00 -1.17517e-05 -1.17517e-05  1.60164e-11
5.273847319e+00 -1.16340e-05 -1.16340e-05  1.82943e-11
5.276044755e+00 -1.04131e-05 -1.04131e-05  4.72896e-11
5.278243107e+00 -1.06836e-05 -1.06836e-05  2.52157e-11
5.280442375e+00 -1.06456e-05 -1.06456e-05  1.74380e-11
5.282642560e+00 -1.06599e-05 -1.06599e-05  1.73170e-11
5.284843661e+00 -1.13165e-05 -1.13166e-05  1.74744e-11
5.287045679e+00 -1.09294e-05 -1.09295e-05  1.89069e-11
5.289248615e+00 -1.16935e-05 -1.16936e-05  2.46041e-11
5.291452468e+00 -1.11398e-05 -1.11399e-05  5.64329e-11
5.293657240e+00 -1.04129e-05 -1.04129e-05  3.93074e-11
5.295862930e+00 -1.09230e-05 -1.09230e-05  2.20623e-11
5.298069540e+00 -1.07050e-05 -1.07050e-05  1.87021e-11
5.300277069e+00 -1.16858e-05 -1.16858e-05  1.77896e-11
5.302485518e+00 -1.18735e-05 -1.18736e-05  1.82965e-11
5.304694887e+00 -1.07816e-05 -1.07817e-05  2.28625e-11
5.306905176e+00 -1.08917e-05 -1.08917e-05  4.39721e-11
5.309116387e+00 -1.08309e-05 -1.08309e-05  1.39225e-11
5.311328519e+00 -1.01816e-05 -1.01817e-05  1.73893e-11
5.313541572e+00 -1.11671e-05 -1.11671e-05  1.72604e-11
5.315755548e+00 -1.13871e-05 -1.13871e-05  1.72903e-11
5.317970446e+00 -1.07292e-05 -1.07292e-05  1.74396e-11
5.320186267e+00 -1.00446e-05 -1.00446e-05  2.04937e-11
5.322403011e+00 -9.93457e-06 -9.93459e-06  1.78546e-11
5.324620679e+00 -1.17627e-05 -1.17627e-05  1.78613e-11
5.326839271e+00 -1.05478e-05 -1.05479e-05  1.80694e-11
5.329058787e+00 -1.07687e-05 -1.07688e-05  2.20205e-11
5.331279229e+00 -1.07305e-05 -1.07305e-05  1.79282e-11
5.333500595e+00 -1.11730e-05 -1.11730e-05  1.86278e-11
5.335722887e+00 -1.03120e-05 -1.03120e-05  1.90358e-11
5.337946105e+00 -1.09324e-05 -1.09324e-05  1.96875e-11
5.340170249e+00 -1.03579e-05 -1.03579e-05  2.07345e-11
5.342395320e+00 -1.04930e-05 -1.04931e-05  2.27667e-11
5.344621318e+00 -1.00920e-05 -1.00920e-05  3.42556e-11
5.346848244e+00 -1.07499e-05 -1.07500e-05  3.88206e-11
5.349076097e+00 -9.55780e-06 -9.55787e-06  7.28948e-11
5.351304879e+00 -9.34433e-06 -9.34438e-06  5.36675e-11
5.353534589e+00 -1.04004e-05 -1.04005e-05  7.50571e-11
5.355765228e+00 -1.09580e-05 -1.09581e-05  3.81818e-11
5.357996797e+00 -1.04020e-05 -1.04021e-05  6.18964e-11
5.360229296e+00 -1.05980e-05 -1.05980e-05  2.57999e-11
5.362462725e+00 -1.02632e-05 -1.02632e-05  2.20360e-11
5.364697084e+00 -9.57642e-06 -9.57644e-06  2.26928e-11
5.366932375e+00 -9.65320e-06 -9.65322e-06  2.15904e-11
5.369168597e+00 -1.06169e-05 -1.06169e-05  2.11646e-11
5.371405750e+00 -9.97041e-06 -9.97044e-06  2.47387e-11
5.373643836e+00 -1.06362e-05 -1.06363e-05  2.31529e-11
5.375882854e+00 -1.03463e-05 -1.03464e-05  2.41338e-11
5.378122805e+00 -9.67537e-06 -9.67539e-06  2.32947e-11
5.380363690e+00 -9.87876e-06 -9.87880e-06  3.57982e-11
5.382605508e+00 -1.06958e-05 -1.06958e-05  2.22007e-11
5.384848260e+00 -1.00053e-05 -1.00053e-05  2.13283e-11
5.387091947e+00 -9.98578e-06 -9.98581e-06  2.57787e-11
5.389336569e+00 -9.44058e-06 -9.44061e-06  2.12185e-11
5.391582126e+00 -9.31975e-06 -9.31977e-06  2.21846e-11
5.393828618e+00 -1.00641e-05 -1.00641e-05  2.34102e-11
5.396076047e+00 -1.08599e-05 -1.08600e-05  2.31239e-11
5.398324412e+00 -1.05114e-05 -1.05115e-05  3.01207e-11
5.400573714e+00 -9.96220e-06 -9.96222e-06  2.40559e-11
5.402823953e+00 -9.56533e-06 -9.56535e-06  2.38300e-11
5.405075129e+00 -9.60187e-06 -9.60190e-06  2.45761e-11
5.407327244e+00 -9.63285e-06 -9.63288e-06  2.60878e-11
5.409580297e+00 -9.22136e-06 -9.22139e-06  3.18449e-11
5.411834289e+00 -9.28440e-06 -9.28446e-06  6.40144e-11
5.414089220e+00 -1.01171e-05 -1.01171e-05  3.23053e-11
5.416345090e+00 -9.37314e-06 -9.37317e-06  3.52393e-11
5.418601901e+00 -9.32281e-06 -9.32286e-06  5.62466e-11
5.420859652e+00 -9.37710e-06 -9.37718e-06  7.79313e-11
5.423118343e+00 -9.08545e-06 -9.08552e-06  7.83795e-11
5.425377976e+00 -9.54563e-06 -9.54569e-06  5.51560e-11
5.427638550e+00 -8.98954e-06 -8.98958e-06  4.73800e-11
5.429900066e+00 -8.81913e-06 -8.81916e-06  3.42127e-11
5.432162524e+00 -9.44030e-06 -9.44033e-06  3.00214e-11
5.434425925e+00 -9.75151e-06 -9.75153e-06  2.87936e-11
5.436690269e+00 -8.66783e-06 -8.66786e-06  3.04275e-11
5.438955557e+00 -9.79046e-06 -9.79049e-06  2.94607e-11
5.441221789e+00 -1.00269e-05 -1.00270e-05  3.36657e-11
5.443488964e+00 -9.23722e-06 -9.23729e-06  7.43580e-11
5.445757085e+00 -9.57262e-06 -9.57266e-06  3.52752e-11
5.448026150e+00 -9.34663e-06 -9.34666e-06  3.08602e-11
5.450296161e+00 -9.54075e-06 -9.54079e-06  3.57484e-11
5.452567118e+00 -9.26015e-06 -9.26018e-06  3.08876e-11
5.454839021e+00 -8.71006e-06 -8.71010e-06  3.57786e-11
5.457111870e+00 -9.89207e-06 -9.89210e-06  3.43809e-11
5.459385667e+00 -8.72727e-06 -8.72731e-06  4.11286e-11
5.461660411e+00 -9.61293e-06 -9.61298e-06  5.69501e-11
5.463936103e+00 -8.68229e-06 -8.68238e-06  9.21237e-11
5.466212743e+00 -9.60140e-06 -9.60148e-06  8.31636e-11
5.468490331e+00 -8.53802e-06 -8.53809e-06  7.06576e-11
5.470768869e+00 -9.66876e-06 -9.66880e-06  3.94171e-11
5.473048356e+00 -9.58138e-06 -9.58142e-06  3.95934e-11
5.475328793e+00 -9.21055e-06 -9.21059e-06  4.54539e-11
5.477610180e+00 -8.46534e-06 -8.46542e-06  7.53146e-11
5.479892518e+00 -9.18011e-06 -9.18018e-06  7.33517e-11
5.482175806e+00 -9.00590e-06 -9.00595e-06  4.57239e-11
5.484460046e+00 -9.28485e-06 -9.28488e-06  3.70697e-11
5.486745238e+00 -8.25579e-06 -8.25583e-06  4.47117e-11
5.489031382e+00 -9.71764e-06 -9.71767e-06  3.75029e-11
5.491318478e+00 -9.14666e-06 -9.14670e-06  3.27466e-11
5.493606527e+00 -8.52848e-06 -8.52851e-06  3.11266e-11
5.495895530e+00 -9.38274e-06 -9.38277e-06  3.04861e-11
5.498185487e+00 -9.16627e-06 -9.16630e-06  3.06683e-11
5.500476397e+00 -9.04262e-06 -9.04266e-06  3.41113e-11
5.502768262e+00 -8.41566e-06 -8.41570e-06  3.90983e-11
5.505061082e+00 -9.25811e-06 -9.25815e-06  3.43857e-11
5.507354858e+00 -9.28420e-06 -9.28424e-06  3.29036e-11
5.509649589e+00 -8.57609e-06 -8.57613e-06  3.23491e-11
5.511945276e+00 -8.58975e-06 -8.58978e-06  3.27026e-11
5.514241920e+00 -9.19271e-06 -9.19275e-06  3.41284e-11
5.516539521e+00 -8.56967e-06 -8.56971e-06  4.11412e-11
5.518838079e+00 -8.43812e-06 -8.43818e-06  6.01999e-11
5.521137595e+00 -8.53236e-06 -8.53241e-06  5.55294e-11
5.523438069e+00 -8.03241e-06 -8.03251e-06  9.78792e-11
5.525739502e+00 -8.38692e-06 -8.38696e-06  4.48113e-11
5.528041893e+00 -8.50733e-06 -8.50737e-06  4.13886e-11
5.530345244e+00 -8.68931e-06 -8.68936e-06  4.94385e-11
5.532649554e+00 -8.20221e-06 -8.20226e-06  4.94202e-11
5.534954825e+00 -8.71031e-06 -8.71035e-06  3.82342e-11
5.537261056e+00 -8.95395e-06 -8.95398e-06  3.81317e-11
5.539568248e+00 -8.59208e-06 -8.59214e-06  5.92425e-11
5.541876402e+00 -8.33597e-06 -8.33601e-06  3.90440e-11
5.544185517e+00 -8.62505e-06 -8.62508e-06  3.89657e-11
