# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.47914e-05 -1.47915e-05  2.76698e-11
5.002083333e+00 -1.48560e-05 -1.48560e-05  4.40818e-11
5.004167535e+00 -1.56876e-05 -1.56876e-05  2.59830e-11
5.006252605e+00 -1.63027e-05 -1.63028e-05  2.32246e-11
5.008338543e+00 -1.57423e-05 -1.57423e-05  2.35308e-11
5.010425351e+00 -1.56421e-05 -1.56421e-05  2.46416e-11
5.012513028e+00 -1.42560e-05 -1.42560e-05  2.22915e-11
5.014601575e+00 -1.51706e-05 -1.51706e-05  2.27377e-11
5.016690992e+00 -1.51683e-05 -1.51683e-05  4.31220e-11
5.018781280e+00 -1.41961e-05 -1.41962e-05  7.01222e-11
5.020872439e+00 -1.42699e-05 -1.42700e-05  7.50482e-11
5.022964469e+00 -1.52240e-05 -1.52240e-05  1.63619e-11
5.025057371e+00 -1.40673e-05 -1.40673e-05  2.37568e-11
5.027151145e+00 -1.41473e-05 -1.41473e-05  2.44688e-11
5.029245792e+00 -1.44094e-05 -1.44094e-05  5.24571e-11
5.031341311e+00 -1.54147e-05 -1.54147e-05  2.76135e-11
5.033437703e+00 -1.46903e-05 -1.46904e-05  2.47615e-11
5.035534969e+00 -1.54961e-05 -1.54961e-05  1.91298e-11
5.037633108e+00 -1.56937e-05 -1.56937e-05  2.47020e-11
5.039732122e+00 -1.35620e-05 -1.35620e-05  1.89588e-11
5.041832010e+00 -1.51247e-05 -1.51247e-05  2.56831e-11
5.043932774e+00 -1.42471e-05 -1.42471e-05  1.85620e-11
5.046034412e+00 -1.46243e-05 -1.46244e-05  2.74093e-11
5.048136927e+00 -1.38630e-05 -1.38630e-05  1.96123e-11
5.050240317e+00 -1.53475e-05 -1.53475e-05  2.52158e-11
5.052344584e+00 -1.54168e-05 -1.54168e-05  1.98610e-11
5.054449727e+00 -1.43677e-05 -1.43678e-05  2.77702e-11
5.056555748e+00 -1.45948e-05 -1.45948e-05  2.07095e-11
5.058662646e+00 -1.41347e-05 -1.41347e-05  3.16255e-11
5.060770422e+00 -1.43572e-05 -1.43572e-05  3.01050e-11
5.062879077e+00 -1.38293e-05 -1.38293e-05  3.29770e-11
5.064988610e+00 -1.40418e-05 -1.40418e-05  1.90538e-11
5.067099022e+00 -1.37898e-05 -1.37898e-05  3.57257e-11
5.069210313e+00 -1.48122e-05 -1.48122e-05  1.83531e-11
5.071322484e+00 -1.44668e-05 -1.44668e-05  3.97472e-11
5.073435535e+00 -1.47349e-05 -1.47349e-05  1.77982e-11
5.075549466e+00 -1.40966e-05 -1.40966e-05  3.46017e-11
5.077664279e+00 -1.37871e-05 -1.37871e-05  2.50519e-11
5.079779972e+00 -1.36966e-05 -1.36967e-05  4.27981e-11
5.081896547e+00 -1.36672e-05 -1.36673e-05  7.23344e-11
5.084014004e+00 -1.40728e-05 -1.40729e-05  5.94140e-11
5.086132343e+00 -1.38030e-05 -1.38031e-05  6.26507e-11
5.088251565e+00 -1.40647e-05 -1.40648e-05  4.90174e-11
5.090371670e+00 -1.40684e-05 -1.40684e-05  2.36795e-11
5.092492658e+00 -1.27362e-05 -1.27362e-05  5.13022e-11
5.094614530e+00 -1.33577e-05 -1.33577e-05  2.17852e-11
5.096737286e+00 -1.44530e-05 -1.44531e-05  5.47846e-11
5.098860926e+00 -1.40074e-05 -1.40075e-05  5.28404e-11
5.100985452e+00 -1.45980e-05 -1.45981e-05  4.62220e-11
5.103110862e+00 -1.41141e-05 -1.41142e-05  3.09734e-11
5.105237159e+00 -1.31914e-05 -1.31914e-05  4.74913e-11
5.107364341e+00 -1.34194e-05 -1.34194e-05  3.31226e-11
5.109492409e+00 -1.28774e-05 -1.28775e-05  5.11941e-11
5.111621364e+00 -1.30406e-05 -1.30407e-05  4.06461e-11
5.113751207e+00 -1.32360e-05 -1.32361e-05  5.69133e-11
5.115881936e+00 -1.39009e-05 -1.39010e-05  5.61840e-11
5.118013554e+00 -1.37699e-05 -1.37699e-05  5.19939e-11
5.120146060e+00 -1.34157e-05 -1.34157e-05  2.21255e-11
5.122279454e+00 -1.37338e-05 -1.37339e-05  5.59881e-11
5.124413737e+00 -1.29508e-05 -1.29508e-05  2.62530e-11
5.126548909e+00 -1.36035e-05 -1.36035e-05  4.10144e-11
5.128684971e+00 -1.25947e-05 -1.25948e-05  2.87076e-11
5.130821923e+00 -1.25055e-05 -1.25055e-05  3.76717e-11
5.132959766e+00 -1.28884e-05 -1.28884e-05  2.60095e-11
5.135098499e+00 -1.36818e-05 -1.36819e-05  3.51430e-11
5.137238123e+00 -1.32732e-05 -1.32733e-05  7.41156e-11
5.139378639e+00 -1.26116e-05 -1.26117e-05  6.26224e-11
5.141520047e+00 -1.33568e-05 -1.33569e-05  5.79513e-11
5.143662347e+00 -1.30037e-05 -1.30037e-05  4.18379e-11
5.145805540e+00 -1.16186e-05 -1.16186e-05  4.86372e-11
